,Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
0,ARI,NL,2012,734,688,81,0.328,0.418,0.259,0,,,162,0.317,0.415
1,ATL,NL,2012,700,600,94,0.32,0.389,0.247,1,4.0,5.0,162,0.306,0.378
2,BAL,AL,2012,712,705,93,0.311,0.417,0.247,1,5.0,4.0,162,0.315,0.403
3,BOS,AL,2012,734,806,69,0.315,0.415,0.26,0,,,162,0.331,0.428
4,CHC,NL,2012,613,759,61,0.302,0.378,0.24,0,,,162,0.335,0.424
5,CHW,AL,2012,748,676,85,0.318,0.422,0.255,0,,,162,0.319,0.405
6,CIN,NL,2012,669,588,97,0.315,0.411,0.251,1,2.0,4.0,162,0.305,0.39
7,CLE,AL,2012,667,845,68,0.324,0.381,0.251,0,,,162,0.336,0.43
8,COL,NL,2012,758,890,64,0.33,0.436,0.274,0,,,162,0.357,0.47
9,DET,AL,2012,726,670,88,0.335,0.422,0.268,1,6.0,2.0,162,0.314,0.402
10,HOU,NL,2012,583,794,55,0.302,0.371,0.236,0,,,162,0.337,0.427
11,KCR,AL,2012,676,746,72,0.317,0.4,0.265,0,,,162,0.339,0.423
12,LAA,AL,2012,767,699,89,0.332,0.433,0.274,0,,,162,0.31,0.403
13,LAD,NL,2012,637,597,86,0.317,0.374,0.252,0,,,162,0.31,0.364
14,MIA,NL,2012,609,724,69,0.308,0.382,0.244,0,,,162,0.327,0.399
15,MIL,NL,2012,776,733,83,0.325,0.437,0.259,0,,,162,0.326,0.414
16,MIN,AL,2012,701,832,66,0.325,0.39,0.26,0,,,162,0.333,0.442
17,NYM,NL,2012,650,709,74,0.316,0.386,0.249,0,,,162,0.315,0.401
18,NYY,AL,2012,804,668,95,0.337,0.453,0.265,1,3.0,3.0,162,0.311,0.419
19,OAK,AL,2012,713,614,94,0.31,0.404,0.238,1,4.0,4.0,162,0.306,0.378
20,PHI,NL,2012,684,680,81,0.317,0.4,0.255,0,,,162,0.306,0.407
21,PIT,NL,2012,651,674,79,0.304,0.395,0.243,0,,,162,0.314,0.39
22,SDP,NL,2012,651,710,76,0.319,0.38,0.247,0,,,162,0.319,0.398
23,SEA,AL,2012,619,651,75,0.296,0.369,0.234,0,,,162,0.308,0.394
24,SFG,NL,2012,718,649,94,0.327,0.397,0.269,1,4.0,1.0,162,0.313,0.393
25,STL,NL,2012,765,648,88,0.338,0.421,0.271,1,6.0,3.0,162,0.313,0.387
26,TBR,AL,2012,697,577,90,0.317,0.394,0.24,0,,,162,0.294,0.352
27,TEX,AL,2012,808,707,93,0.334,0.446,0.273,1,5.0,5.0,162,0.309,0.408
28,TOR,AL,2012,716,784,73,0.309,0.407,0.245,0,,,162,0.335,0.438
29,WSN,NL,2012,731,594,98,0.322,0.428,0.261,1,1.0,4.0,162,0.303,0.373
30,ARI,NL,2011,731,662,94,0.322,0.413,0.25,1,5.0,4.0,162,0.316,0.409
31,ATL,NL,2011,641,605,89,0.308,0.387,0.243,0,,,162,0.31,0.361
32,BAL,AL,2011,708,860,69,0.316,0.413,0.257,0,,,162,0.341,0.46
33,BOS,AL,2011,875,737,90,0.349,0.461,0.28,0,,,162,0.322,0.392
34,CHC,NL,2011,654,756,71,0.314,0.401,0.256,0,,,162,0.335,0.413
35,CHW,AL,2011,654,706,79,0.319,0.388,0.252,0,,,162,0.317,0.397
36,CIN,NL,2011,735,720,79,0.326,0.408,0.256,0,,,162,0.325,0.415
37,CLE,AL,2011,704,760,80,0.317,0.396,0.25,0,,,162,0.323,0.413
38,COL,NL,2011,735,774,73,0.329,0.41,0.258,0,,,162,0.331,0.431
39,DET,AL,2011,787,711,95,0.34,0.434,0.277,1,4.0,3.0,162,0.321,0.396
40,FLA,NL,2011,625,702,72,0.318,0.388,0.247,0,,,162,0.316,0.401
41,HOU,NL,2011,615,796,56,0.311,0.374,0.258,0,,,162,0.337,0.432
42,KCR,AL,2011,730,762,71,0.329,0.415,0.275,0,,,162,0.337,0.425
43,LAA,AL,2011,667,633,86,0.313,0.402,0.253,0,,,162,0.313,0.388
44,LAD,NL,2011,644,612,82,0.322,0.375,0.257,0,,,161,0.31,0.371
45,MIL,NL,2011,721,638,96,0.325,0.425,0.261,1,3.0,3.0,162,0.304,0.385
46,MIN,AL,2011,619,804,63,0.306,0.36,0.247,0,,,162,0.34,0.435
47,NYM,NL,2011,718,742,77,0.335,0.391,0.264,0,,,162,0.332,0.411
48,NYY,AL,2011,867,657,97,0.343,0.444,0.263,1,2.0,4.0,162,0.322,0.399
49,OAK,AL,2011,645,679,74,0.311,0.369,0.244,0,,,162,0.317,0.378
50,PHI,NL,2011,713,529,102,0.323,0.395,0.253,1,1.0,4.0,162,0.296,0.361
51,PIT,NL,2011,610,712,72,0.309,0.368,0.244,0,,,162,0.338,0.409
52,SDP,NL,2011,593,611,71,0.305,0.349,0.237,0,,,162,0.314,0.375
53,SEA,AL,2011,556,675,67,0.292,0.348,0.233,0,,,162,0.31,0.386
54,SFG,NL,2011,570,578,86,0.303,0.368,0.242,0,,,162,0.309,0.346
55,STL,NL,2011,762,692,90,0.341,0.425,0.273,1,7.0,1.0,162,0.319,0.398
56,TBR,AL,2011,707,614,91,0.322,0.402,0.244,1,6.0,4.0,162,0.303,0.383
57,TEX,AL,2011,855,677,96,0.34,0.46,0.283,1,3.0,2.0,162,0.307,0.392
58,TOR,AL,2011,743,761,81,0.317,0.413,0.249,0,,,162,0.328,0.419
59,WSN,NL,2011,624,643,80,0.309,0.383,0.242,0,,,161,0.319,0.382
60,ARI,NL,2010,713,836,65,0.325,0.416,0.25,0,,,162,0.34,0.448
61,ATL,NL,2010,738,629,91,0.339,0.401,0.258,1,6.0,4.0,162,0.314,0.376
62,BAL,AL,2010,613,785,66,0.316,0.386,0.259,0,,,162,0.336,0.434
63,BOS,AL,2010,818,744,89,0.339,0.451,0.268,0,,,162,0.327,0.399
64,CHC,NL,2010,685,767,75,0.32,0.401,0.257,0,,,162,0.334,0.398
65,CHW,AL,2010,752,704,88,0.332,0.42,0.268,0,,,162,0.325,0.395
66,CIN,NL,2010,790,685,91,0.338,0.436,0.272,1,6.0,4.0,162,0.323,0.396
67,CLE,AL,2010,646,752,69,0.322,0.378,0.248,0,,,162,0.342,0.416
68,COL,NL,2010,770,717,83,0.336,0.425,0.263,0,,,162,0.326,0.397
69,DET,AL,2010,751,743,81,0.335,0.415,0.268,0,,,162,0.332,0.4
70,FLA,NL,2010,719,717,80,0.321,0.403,0.254,0,,,162,0.331,0.398
71,HOU,NL,2010,611,729,76,0.303,0.362,0.247,0,,,162,0.33,0.402
72,KCR,AL,2010,676,845,67,0.331,0.399,0.274,0,,,162,0.342,0.435
73,LAA,AL,2010,681,702,80,0.311,0.39,0.248,0,,,162,0.327,0.403
74,LAD,NL,2010,667,692,80,0.322,0.379,0.252,0,,,162,0.316,0.378
75,MIL,NL,2010,750,804,77,0.335,0.424,0.262,0,,,162,0.338,0.427
76,MIN,AL,2010,781,671,94,0.341,0.422,0.273,1,4.0,4.0,162,0.317,0.417
77,NYM,NL,2010,656,652,79,0.314,0.383,0.249,0,,,162,0.33,0.394
78,NYY,AL,2010,859,693,95,0.35,0.436,0.267,1,3.0,3.0,162,0.322,0.399
79,OAK,AL,2010,663,626,81,0.324,0.378,0.256,0,,,162,0.313,0.379
80,PHI,NL,2010,772,640,97,0.332,0.413,0.26,1,1.0,3.0,162,0.311,0.405
81,PIT,NL,2010,587,866,57,0.304,0.373,0.242,0,,,162,0.348,0.449
82,SDP,NL,2010,665,581,90,0.317,0.371,0.246,0,,,162,0.308,0.368
83,SEA,AL,2010,513,698,61,0.298,0.339,0.236,0,,,162,0.313,0.401
84,SFG,NL,2010,697,583,92,0.321,0.408,0.257,1,5.0,1.0,162,0.313,0.37
85,STL,NL,2010,736,641,86,0.332,0.402,0.263,0,,,162,0.319,0.387
86,TBR,AL,2010,802,649,96,0.333,0.403,0.247,1,2.0,4.0,162,0.308,0.404
87,TEX,AL,2010,787,687,90,0.338,0.419,0.276,1,7.0,2.0,162,0.319,0.39
88,TOR,AL,2010,755,728,85,0.312,0.454,0.248,0,,,162,0.326,0.405
89,WSN,NL,2010,655,742,69,0.318,0.39,0.25,0,,,162,0.33,0.41
90,ARI,NL,2009,720,782,70,0.324,0.418,0.253,0,,,162,0.33,0.419
91,ATL,NL,2009,735,641,86,0.339,0.405,0.263,0,,,162,0.323,0.39
92,BAL,AL,2009,741,876,64,0.332,0.415,0.268,0,,,162,0.353,0.476
93,BOS,AL,2009,872,736,95,0.352,0.454,0.27,1,3.0,4.0,162,0.335,0.422
94,CHC,NL,2009,707,672,83,0.332,0.407,0.255,0,,,161,0.324,0.391
